,Unnamed: 0,cpd_str_alert_id,molecule_chembl_id,alert.alert_id,alert.alert_name,alert.alert_set.priority,alert.alert_set.set_name,alert.smarts
540,540,49305162,CHEMBL416780,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
7901,901,49312523,CHEMBL1863839,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13464,464,49318086,CHEMBL4127615,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
9179,179,49313801,CHEMBL2043188,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4346,346,49308968,CHEMBL454922,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
15125,125,49319747,CHEMBL4435627,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
4186,186,49308808,CHEMBL404658,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17710,710,49322332,CHEMBL312782,7,R7 Peroxides,8,Glaxo,OO
9833,833,49314455,CHEMBL2261746,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
2836,836,49307458,CHEMBL346986,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18101,101,49322723,CHEMBL156796,7,R7 Peroxides,8,Glaxo,OO
18558,558,49323180,CHEMBL261816,7,R7 Peroxides,8,Glaxo,OO
15033,33,49319655,CHEMBL3251297,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
14211,211,49318833,CHEMBL4455692,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10058,58,49314680,CHEMBL2282060,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1655,655,49306277,CHEMBL96976,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
19364,364,49323986,CHEMBL1099088,7,R7 Peroxides,8,Glaxo,OO
10607,607,49315229,CHEMBL2392523,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8162,162,49312784,CHEMBL1947073,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16378,378,49321000,CHEMBL3143060,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
9957,957,49314579,CHEMBL2269194,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
11431,431,49316053,CHEMBL3248112,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
14553,553,49319175,CHEMBL4637241,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
6541,541,49311163,CHEMBL1385313,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17539,539,49322161,CHEMBL300404,7,R7 Peroxides,8,Glaxo,OO
6251,251,49310873,CHEMBL1278047,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
9473,473,49314095,CHEMBL2165752,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
11045,45,49315667,CHEMBL3144438,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1804,804,49306426,CHEMBL106605,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13343,343,49317965,CHEMBL4096196,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
9113,113,49313735,CHEMBL2010205,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
12934,934,49317556,CHEMBL3939213,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8188,188,49312810,CHEMBL1962918,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10891,891,49315513,CHEMBL3108975,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18753,753,49323375,CHEMBL463703,7,R7 Peroxides,8,Glaxo,OO
18269,269,49322891,CHEMBL198327,7,R7 Peroxides,8,Glaxo,OO
17936,936,49322558,CHEMBL134071,7,R7 Peroxides,8,Glaxo,OO
18438,438,49323060,CHEMBL243597,7,R7 Peroxides,8,Glaxo,OO
4591,591,49309213,CHEMBL493400,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
11171,171,49315793,CHEMBL3197512,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
15259,259,49319881,CHEMBL4591110,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
10055,55,49314677,CHEMBL2282057,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16396,396,49321018,CHEMBL3143122,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
9836,836,49314458,CHEMBL2261845,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
7443,443,49312065,CHEMBL1719951,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4845,845,49309467,CHEMBL498465,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4729,729,49309351,CHEMBL453964,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4615,615,49309237,CHEMBL499848,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
12165,165,49316787,CHEMBL3577381,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18590,590,49323212,CHEMBL403266,7,R7 Peroxides,8,Glaxo,OO
2668,668,49307290,CHEMBL153689,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18343,343,49322965,CHEMBL385742,7,R7 Peroxides,8,Glaxo,OO
15235,235,49319857,CHEMBL4554456,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
8335,335,49312957,CHEMBL1970674,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
5561,561,49310183,CHEMBL1098136,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
15286,286,49319908,CHEMBL26591,4,R4 Sulphate esters,8,Glaxo,"COS(=O)O[C,c]"
11278,278,49315900,CHEMBL3230832,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3538,538,49308160,CHEMBL215094,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13169,169,49317791,CHEMBL4071656,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
7513,513,49312135,CHEMBL1740035,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1886,886,49306508,CHEMBL109481,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
19444,444,49324066,CHEMBL1169510,7,R7 Peroxides,8,Glaxo,OO
1811,811,49306433,CHEMBL106578,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3599,599,49308221,CHEMBL375143,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
15726,726,49320348,CHEMBL494920,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
4123,123,49308745,CHEMBL261762,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1991,991,49306613,CHEMBL116368,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
19333,333,49323955,CHEMBL1081340,7,R7 Peroxides,8,Glaxo,OO
15932,932,49320554,CHEMBL1831126,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
2474,474,49307096,CHEMBL144896,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4799,799,49309421,CHEMBL518971,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1030,30,49305652,CHEMBL60245,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17926,926,49322548,CHEMBL130512,7,R7 Peroxides,8,Glaxo,OO
15484,484,49320106,CHEMBL325178,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
4090,90,49308712,CHEMBL255678,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
2394,394,49307016,CHEMBL139364,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18384,384,49323006,CHEMBL221773,7,R7 Peroxides,8,Glaxo,OO
14555,555,49319177,CHEMBL4637403,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10860,860,49315482,CHEMBL3098867,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
6825,825,49311447,CHEMBL1487345,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3667,667,49308289,CHEMBL376159,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
2898,898,49307520,CHEMBL160989,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13033,33,49317655,CHEMBL3973202,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
12522,522,49317144,CHEMBL3734810,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
18001,1,49322623,CHEMBL135422,7,R7 Peroxides,8,Glaxo,OO
3668,668,49308290,CHEMBL410742,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
7973,973,49312595,CHEMBL1884140,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
